Size Rank,CMA Geographic Name,Province,Population (2021)
1,Toronto,Ontario,6202225
2,Montreal,Quebec,4291732
3,Vancouver,British Columbia,2642825
4,Ottawa-Gatineau,Ontario and Quebec,1488307
5,Calgary,Alberta,1481806
6,Edmonton,Alberta,1418118
7,Quebec City,Quebec,839311
8,Winnipeg,Manitoba,834678
9,Hamilton,Ontario,785184
10,Kitchener-Cambridge-Waterloo,Ontario,575847
11,London,Ontario,543551
12,Halifax,Nova Scotia,465703
15,Oshawa,Ontario,415311
23,Abbotsford-Mission,British Columbia,195726